a black cat standing in a grassy field make this cat lick itself,a black cat standing on top of a lush green field,0.7649635076522827
an elephant walking on a dirt road in the wild put this elephant in the zoo,a toy elephant standing in a room with a green wall,0.43255314230918884
an old car is sitting in the woods make this car new and clean,an old car is parked in the woods,0.763260543346405
a green race car driving down a track turn the race car red color,a red race car driving down a track,0.808529257774353
a man in a white shirt and black jeans turn the t-shirt rainbow colors,a man in a blue shirt and black pants,0.5518410205841064
a person wearing red converses standing on a grass field make these converse boots low,a pair of red and black sneakers on a grassy field,0.7157077193260193
a person holding a cell phone in their hand put this iPhone on a table,a cell phone sitting next to a green apple,0.5301799178123474
a laptop computer sitting on top of a wooden table close  the laptop lid,a tablet computer sitting on top of a wooden table,0.754346489906311
a baseball bat laying on a wooden surface take this katana out of the sheath,a knife with a yellow handle on a black background,0.3121964931488037
a person holding a gun in their hand make this person hold two guns,a person holding a gun in their hand,0.8561873435974121
a view of the eiffel tower from the park show Eiffel Tower at night,a very tall tower lit up at night,0.568306565284729
a large pyramid with a truck parked in front of it put camels next to the pyramid,three camels are standing in front of a pyramid,0.7687745094299316
a single white flower with a green background move this flower to a desert,a single pink flower in a vase on a table,0.41446632146835327
a cactus plant with many small green and yellow flowers add tepals to the cacti,a cactus with a green hat on top of it,0.5812802910804749
a rubik cube sitting on top of a table solve this Rubik's cube,a rubik cube sitting on top of a table,0.90700364112854
a rubik cube with a red yellow and blue top make this Rubik's cube 4 by 4 size,a rubik cube with a red blue and yellow top,0.8189352750778198
a hot air balloon flying over the ocean at night put the hot air balloon on sand,a hot air balloon flying over a beach,0.8376768231391907
a large group of balloons flying in the sky show only one white and red hot air balloon,a bunch of balloons flying in the sky,0.7642196416854858
a bottle of tullamore dew and two shot glasses make this jack Daniels whiskey instead,a bottle of whiskey sitting on top of a glass,0.6049335598945618
a mug of beer sitting on top of a wooden table make this beer glass half empty,a glass of beer on a table,0.8080923557281494
a red sports car is shown in a dark room make this ferrari yellow,a red sports car is shown in a dark room,0.8250475525856018
a yellow lamb suv driving down a road make this lamborghini a faster model,a car that is sitting on the side of the road,0.3698572516441345
a small brown dog sitting on the ground remove the fur from this dog,a small bird is standing on the ground,0.35600370168685913
a pug dog laying in the grass with its tongue out make this pug darker fur and smile less,a pug dog laying on the grass with a pink ball in its mouth,0.7339293956756592
